# LJ Spline
# epsilon=0.686117, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 11065.7 56954.2
3.42222 105.16 401.031
4.49444 1.10462 7.74073
5.56667 -0.634046 -0.295211
6.63889 -0.30202 -0.233642
7.71111 -0.133501 -0.0982631
8.78333 -0.0629176 -0.0419465
9.85556 -0.0319022 -0.0191907
10.9278 -0.0172622 -0.00941761
12 -0.0098716 -0.00491792

# LJ Spline
# epsilon=0.789035, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 12725.6 65497.3
3.42222 120.934 461.185
4.49444 1.27032 8.90184
5.56667 -0.729153 -0.339493
6.63889 -0.347323 -0.268688
7.71111 -0.153526 -0.113003
8.78333 -0.0723553 -0.0482385
9.85556 -0.0366875 -0.0220693
10.9278 -0.0198515 -0.0108302
12 -0.0113523 -0.0056556

# LJ Spline
# epsilon=0.926259, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 14938.7 76888.1
3.42222 141.966 541.391
4.49444 1.49124 10.45
5.56667 -0.855962 -0.398535
6.63889 -0.407727 -0.315416
7.71111 -0.180227 -0.132655
8.78333 -0.0849388 -0.0566278
9.85556 -0.0430679 -0.0259074
10.9278 -0.023304 -0.0127138
12 -0.0133267 -0.00663919

# LJ Spline
# epsilon=1.20071, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 19365 99669.8
3.42222 184.03 701.804
4.49444 1.93309 13.5463
5.56667 -1.10958 -0.516619
6.63889 -0.528535 -0.408873
7.71111 -0.233627 -0.17196
8.78333 -0.110106 -0.0734064
9.85556 -0.0558288 -0.0335837
10.9278 -0.0302089 -0.0164808
12 -0.0172753 -0.00860635

# LJ Spline
# epsilon=1.37223, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 22131.4 113908
3.42222 210.32 802.061
4.49444 2.20925 15.4815
5.56667 -1.26809 -0.590422
6.63889 -0.60404 -0.467283
7.71111 -0.267002 -0.196526
8.78333 -0.125835 -0.083893
9.85556 -0.0638043 -0.0383813
10.9278 -0.0345244 -0.0188352
12 -0.0197432 -0.00983583

# LJ Spline
# epsilon=1.54376, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 24897.8 128147
3.42222 236.61 902.319
4.49444 2.4854 17.4166
5.56667 -1.4266 -0.664225
6.63889 -0.679545 -0.525694
7.71111 -0.300378 -0.221092
8.78333 -0.141565 -0.0943797
9.85556 -0.0717799 -0.043179
10.9278 -0.03884 -0.0211896
12 -0.0222111 -0.0110653

# LJ Spline
# epsilon=1.71529, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 27664.3 142385
3.42222 262.9 1002.58
4.49444 2.76156 19.3518
5.56667 -1.58511 -0.738027
6.63889 -0.75505 -0.584104
7.71111 -0.333753 -0.245658
8.78333 -0.157294 -0.104866
9.85556 -0.0797554 -0.0479767
10.9278 -0.0431555 -0.023544
12 -0.024679 -0.0122948

# LJ Spline
# epsilon=1.92113, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 30984 159472
3.42222 294.448 1122.89
4.49444 3.09295 21.674
5.56667 -1.77533 -0.826591
6.63889 -0.845656 -0.654197
7.71111 -0.373803 -0.275137
8.78333 -0.176169 -0.11745
9.85556 -0.089326 -0.0537339
10.9278 -0.0483342 -0.0263693
12 -0.0276405 -0.0137702

# Coulomb Spline
# q1q2=-1, dielectric=15, coulomb_constant=476.628, r_min=0.5, r_max=12
# r potential force
0.5 -63.5504 -127.101
1.77778 -17.8735 -10.0539
3.05556 -10.3992 -3.40336
4.33333 -7.33274 -1.69217
5.61111 -5.6629 -1.00923
6.88889 -4.61253 -0.66956
8.16667 -3.89084 -0.476429
9.44444 -3.36443 -0.356234
10.7222 -2.96349 -0.276388
12 -2.64793 -0.220661

# Coulomb Spline
# q1q2=1, dielectric=15, coulomb_constant=476.628, r_min=0.5, r_max=12
# r potential force
0.5 63.5504 127.101
1.77778 17.8735 10.0539
3.05556 10.3992 3.40336
4.33333 7.33274 1.69217
5.61111 5.6629 1.00923
6.88889 4.61253 0.66956
8.16667 3.89084 0.476429
9.44444 3.36443 0.356234
10.7222 2.96349 0.276388
12 2.64793 0.220661

# All spline values below are divided by 72.0 (mass correction)
# Angle Spline
# k=8.57647, theta0_deg=120
# theta_deg potential force
0 0.134007 0.178676
20 0.123448 0.171493
40 0.095465 0.150808
60 0.0595588 0.119118
80 0.0270279 0.0802434
100 0.00634334 0.0388743
120 0 0
140 0.00421555 -0.0316906
160 0.0115145 -0.0523751
180 0.0148897 -0.0595588

# Angle Spline
# k=8.57647, theta0_deg=180
# theta_deg potential force
0 0.238235 0.238235
20 0.224085 0.231052
40 0.185759 0.210367
60 0.134007 0.178676
80 0.0820393 0.139802
100 0.0406702 0.0984331
120 0.0148897 0.0595588
140 0.00325996 0.0278682
160 0.000216614 0.00718367
180 0 0

# Angle Spline
# k=15.4376, theta0_deg=120
# theta_deg potential force
0 0.241213 0.321618
20 0.222207 0.308687
40 0.171837 0.271455
60 0.107206 0.214412
80 0.0486502 0.144438
100 0.011418 0.0699737
120 0 0
140 0.00758799 -0.057043
160 0.0207261 -0.0942752
180 0.0268015 -0.107206

# All spline values below are divided by 72.0 (mass correction)
# Bond Spline
# k=4.28823, r0=3.7
# r potential force
1.85 0.10192 -0.110184
2.46667 0.0452978 -0.0734559
3.08333 0.0113244 -0.0367279
3.7 0 0
4.31667 0.0113244 0.0367279
4.93333 0.0452978 0.0734559
5.55 0.10192 0.110184
6.16667 0.181191 0.146912
6.78333 0.283111 0.18364
7.4 0.40768 0.220368

# Bond Spline
# k=4.28823, r0=4.7
# r potential force
2.35 0.164457 -0.139963
3.13333 0.0730919 -0.0933088
3.91667 0.018273 -0.0466544
4.7 0 0
5.48333 0.018273 0.0466544
6.26667 0.0730919 0.0933088
7.05 0.164457 0.139963
7.83333 0.292368 0.186618
8.61667 0.456824 0.233272
9.4 0.657827 0.279926

# All spline values below are divided by 72.0 (mass correction)
# LJ Spline
# epsilon=0.686117, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 153.69 791.03
3.42222 1.46056 5.56987
4.49444 0.015342 0.10751
5.56667 -0.00880619 -0.00410015
6.63889 -0.00419472 -0.00324502
7.71111 -0.00185418 -0.00136477
8.78333 -0.000873856 -0.000582591
9.85556 -0.000443086 -0.000266537
10.9278 -0.000239753 -0.0001308
12 -0.000137106 -6.83044e-05

# LJ Spline
# epsilon=0.789035, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 176.744 909.685
3.42222 1.67964 6.40535
4.49444 0.0176433 0.123637
5.56667 -0.0101271 -0.00471517
6.63889 -0.00482393 -0.00373178
7.71111 -0.00213231 -0.00156948
8.78333 -0.00100493 -0.000669979
9.85556 -0.000509548 -0.000306518
10.9278 -0.000275716 -0.00015042
12 -0.000157671 -7.855e-05

# LJ Spline
# epsilon=0.926259, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 207.482 1067.89
3.42222 1.97175 7.51932
4.49444 0.0207117 0.145139
5.56667 -0.0118884 -0.0055352
6.63889 -0.00566288 -0.00438078
7.71111 -0.00250315 -0.00184243
8.78333 -0.00117971 -0.000786497
9.85556 -0.000598165 -0.000359825
10.9278 -0.000323667 -0.00017658
12 -0.000185092 -9.22109e-05

# LJ Spline
# epsilon=1.20071, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 268.958 1384.3
3.42222 2.55597 9.74727
4.49444 0.0268485 0.188143
5.56667 -0.0154108 -0.00717527
6.63889 -0.00734077 -0.00567879
7.71111 -0.00324482 -0.00238834
8.78333 -0.00152925 -0.00101953
9.85556 -0.0007754 -0.00046644
10.9278 -0.000419568 -0.0002289
12 -0.000239935 -0.000119533

# LJ Spline
# epsilon=1.37223, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 307.381 1582.06
3.42222 2.92111 11.1397
4.49444 0.030684 0.21502
5.56667 -0.0176124 -0.0082003
6.63889 -0.00838945 -0.00649005
7.71111 -0.00370837 -0.00272953
8.78333 -0.00174771 -0.00116518
9.85556 -0.000886171 -0.000533074
10.9278 -0.000479506 -0.0002616
12 -0.000274211 -0.000136609

# LJ Spline
# epsilon=1.54376, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 345.803 1779.82
3.42222 3.28625 12.5322
4.49444 0.0345195 0.241898
5.56667 -0.0198139 -0.00922534
6.63889 -0.00943813 -0.0073013
7.71111 -0.00417191 -0.00307072
8.78333 -0.00196618 -0.00131083
9.85556 -0.000996943 -0.000599708
10.9278 -0.000539444 -0.0002943
12 -0.000308487 -0.000153685

# LJ Spline
# epsilon=1.71529, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 384.226 1977.58
3.42222 3.65139 13.9247
4.49444 0.038355 0.268775
5.56667 -0.0220155 -0.0102504
6.63889 -0.0104868 -0.00811256
7.71111 -0.00463546 -0.00341191
8.78333 -0.00218464 -0.00145648
9.85556 -0.00110771 -0.000666343
10.9278 -0.000599383 -0.000327
12 -0.000342764 -0.000170761

# LJ Spline
# epsilon=1.92113, sigma=4.7, r_min=2.35, r_max=12
# r potential force
2.35 430.333 2214.88
3.42222 4.08955 15.5956
4.49444 0.0429576 0.301028
5.56667 -0.0246573 -0.0114804
6.63889 -0.0117452 -0.00908607
7.71111 -0.00519171 -0.00382134
8.78333 -0.0024468 -0.00163125
9.85556 -0.00124064 -0.000746304
