# All spline values below are divided by 72.0 (mass correction)
# Angle Spline
# k=8.57647, theta0_deg=120
# theta_deg potential force
0 0.134007 0.178676
20 0.123448 0.171493
40 0.095465 0.150808
60 0.0595588 0.119118
80 0.0270279 0.0802434
100 0.00634334 0.0388743
120 0 0
140 0.00421555 -0.0316906
160 0.0115145 -0.0523751
180 0.0148897 -0.0595588

# Angle Spline
# k=8.57647, theta0_deg=180
# theta_deg potential force
0 0.238235 0.238235
20 0.224085 0.231052
40 0.185759 0.210367
60 0.134007 0.178676
80 0.0820393 0.139802
100 0.0406702 0.0984331
120 0.0148897 0.0595588
140 0.00325996 0.0278682
160 0.000216614 0.00718367
180 0 0

# Angle Spline
# k=15.4376, theta0_deg=120
# theta_deg potential force
0 0.241213 0.321618
20 0.222207 0.308687
40 0.171837 0.271455
60 0.107206 0.214412
80 0.0486502 0.144438
100 0.011418 0.0699737
120 0 0
140 0.00758799 -0.057043
160 0.0207261 -0.0942752
180 0.0268015 -0.107206

