# All spline values below are divided by 72.0 (mass correction)
# Bond Spline
# k=4.28823, r0=3.7
# r potential force
1.85 0.10192 -0.110184
2.46667 0.0452978 -0.0734559
3.08333 0.0113244 -0.0367279
3.7 0 0
4.31667 0.0113244 0.0367279
4.93333 0.0452978 0.0734559
5.55 0.10192 0.110184
6.16667 0.181191 0.146912
6.78333 0.283111 0.18364
7.4 0.40768 0.220368

# Bond Spline
# k=4.28823, r0=4.7
# r potential force
2.35 0.164457 -0.139963
3.13333 0.0730919 -0.0933088
3.91667 0.018273 -0.0466544
4.7 0 0
5.48333 0.018273 0.0466544
6.26667 0.0730919 0.0933088
7.05 0.164457 0.139963
7.83333 0.292368 0.186618
8.61667 0.456824 0.233272
9.4 0.657827 0.279926

# All spline values below are divided by 72.0 (mass correction)
# Bond Spline
# k=4.28823, r0=3.7
# r potential force
1.85 0.10192 -0.110184
2.46667 0.0452978 -0.0734559
3.08333 0.0113244 -0.0367279
3.7 0 0
4.31667 0.0113244 0.0367279
4.93333 0.0452978 0.0734559
5.55 0.10192 0.110184
6.16667 0.181191 0.146912
6.78333 0.283111 0.18364
7.4 0.40768 0.220368

# Bond Spline
# k=4.28823, r0=4.7
# r potential force
2.35 0.164457 -0.139963
3.13333 0.0730919 -0.0933088
3.91667 0.018273 -0.0466544
4.7 0 0
5.48333 0.018273 0.0466544
6.26667 0.0730919 0.0933088
7.05 0.164457 0.139963
7.83333 0.292368 0.186618
8.61667 0.456824 0.233272
9.4 0.657827 0.279926

